starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 12 19:06:38 2022	1649783198	0	2	2	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	2	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	2	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	2	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	2	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	2	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	2	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	2	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	2	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	2	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:42 2022	1649783202	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:42 2022	1649783202	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:41 2022	1649783201	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:37 2022	1649783197	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:37 2022	1649783197	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:37 2022	1649783197	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:37 2022	1649783197	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:37 2022	1649783197	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:42 2022	1649783202	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	3	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	3	3	3
Tue Apr 12 19:06:39 2022	1649783199	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:38 2022	1649783198	0	3	3	3
Tue Apr 12 19:06:38 2022	1649783198	1	2	3	2
Tue Apr 12 19:06:39 2022	1649783199	1	2	3	2
