Percentage served,Time in ms
0,1.005
1,1.270
2,1.346
3,1.432
4,1.494
5,1.548
6,1.593
7,1.635
8,1.675
9,1.716
10,1.755
11,1.787
12,1.817
13,1.851
14,1.885
15,1.915
16,1.950
17,1.986
18,2.016
19,2.048
20,2.080
21,2.105
22,2.134
23,2.165
24,2.193
25,2.223
26,2.251
27,2.278
28,2.303
29,2.335
30,2.360
31,2.387
32,2.414
33,2.443
34,2.470
35,2.493
36,2.523
37,2.546
38,2.569
39,2.590
40,2.615
41,2.644
42,2.672
43,2.695
44,2.723
45,2.746
46,2.774
47,2.792
48,2.811
49,2.836
50,2.859
51,2.885
52,2.910
53,2.927
54,2.954
55,2.978
56,3.002
57,3.029
58,3.053
59,3.078
60,3.104
61,3.136
62,3.161
63,3.184
64,3.213
65,3.240
66,3.267
67,3.301
68,3.331
69,3.362
70,3.389
71,3.426
72,3.463
73,3.498
74,3.530
75,3.572
76,3.610
77,3.654
78,3.696
79,3.747
80,3.796
81,3.851
82,3.908
83,3.975
84,4.044
85,4.121
86,4.206
87,4.296
88,4.394
89,4.513
90,4.627
91,4.751
92,4.888
93,5.097
94,5.324
95,5.688
96,6.259
97,7.165
98,8.706
99,13.086
100,930.620
