Percentage served,Time in ms
0,1.143
1,1.691
2,1.817
3,1.889
4,1.948
5,2.010
6,2.053
7,2.107
8,2.148
9,2.185
10,2.221
11,2.253
12,2.286
13,2.316
14,2.342
15,2.371
16,2.396
17,2.426
18,2.448
19,2.471
20,2.494
21,2.520
22,2.543
23,2.568
24,2.593
25,2.612
26,2.634
27,2.658
28,2.679
29,2.701
30,2.723
31,2.745
32,2.764
33,2.786
34,2.808
35,2.826
36,2.850
37,2.870
38,2.889
39,2.911
40,2.931
41,2.950
42,2.973
43,2.994
44,3.020
45,3.042
46,3.064
47,3.084
48,3.106
49,3.131
50,3.154
51,3.181
52,3.206
53,3.227
54,3.254
55,3.283
56,3.307
57,3.331
58,3.355
59,3.385
60,3.411
61,3.440
62,3.472
63,3.499
64,3.526
65,3.558
66,3.592
67,3.626
68,3.659
69,3.693
70,3.728
71,3.768
72,3.813
73,3.853
74,3.895
75,3.940
76,3.984
77,4.027
78,4.082
79,4.148
80,4.211
81,4.283
82,4.355
83,4.424
84,4.503
85,4.610
86,4.714
87,4.820
88,4.945
89,5.078
90,5.206
91,5.412
92,5.645
93,5.908
94,6.207
95,6.645
96,7.187
97,8.301
98,10.098
99,14.828
100,34.237
