Percentage served,Time in ms
0,2.797
1,3.971
2,4.179
3,4.388
4,4.524
5,4.660
6,4.764
7,4.832
8,4.901
9,4.964
10,5.023
11,5.081
12,5.139
13,5.185
14,5.243
15,5.294
16,5.350
17,5.399
18,5.452
19,5.496
20,5.537
21,5.583
22,5.634
23,5.690
24,5.731
25,5.774
26,5.823
27,5.868
28,5.909
29,5.957
30,5.993
31,6.038
32,6.078
33,6.111
34,6.153
35,6.190
36,6.230
37,6.270
38,6.301
39,6.347
40,6.394
41,6.432
42,6.465
43,6.512
44,6.551
45,6.593
46,6.642
47,6.686
48,6.735
49,6.788
50,6.840
51,6.893
52,6.939
53,6.978
54,7.027
55,7.072
56,7.137
57,7.190
58,7.258
59,7.320
60,7.380
61,7.440
62,7.491
63,7.552
64,7.631
65,7.689
66,7.764
67,7.831
68,7.897
69,7.970
70,8.056
71,8.137
72,8.213
73,8.299
74,8.383
75,8.465
76,8.545
77,8.624
78,8.717
79,8.823
80,8.918
81,9.022
82,9.125
83,9.257
84,9.380
85,9.548
86,9.676
87,9.857
88,10.037
89,10.242
90,10.426
91,10.657
92,10.952
93,11.276
94,11.568
95,11.913
96,12.372
97,13.040
98,13.990
99,15.546
100,28.711
