Percentage served,Time in ms
0,2.796
1,3.962
2,4.207
3,4.409
4,4.520
5,4.623
6,4.721
7,4.802
8,4.883
9,4.949
10,5.023
11,5.085
12,5.140
13,5.199
14,5.247
15,5.298
16,5.340
17,5.384
18,5.424
19,5.468
20,5.511
21,5.550
22,5.586
23,5.640
24,5.683
25,5.734
26,5.783
27,5.830
28,5.875
29,5.921
30,5.966
31,6.011
32,6.063
33,6.114
34,6.164
35,6.216
36,6.265
37,6.320
38,6.367
39,6.419
40,6.476
41,6.523
42,6.570
43,6.615
44,6.664
45,6.710
46,6.752
47,6.797
48,6.842
49,6.896
50,6.944
51,6.992
52,7.045
53,7.102
54,7.155
55,7.213
56,7.268
57,7.322
58,7.383
59,7.432
60,7.477
61,7.539
62,7.606
63,7.667
64,7.739
65,7.802
66,7.874
67,7.936
68,8.009
69,8.073
70,8.139
71,8.213
72,8.301
73,8.393
74,8.483
75,8.563
76,8.670
77,8.770
78,8.852
79,8.960
80,9.075
81,9.197
82,9.322
83,9.431
84,9.548
85,9.698
86,9.864
87,10.011
88,10.165
89,10.358
90,10.573
91,10.767
92,11.036
93,11.309
94,11.642
95,12.010
96,12.439
97,12.953
98,13.851
99,15.199
100,28.005
