starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 12 18:32:37 2022	1649781157	0	2	2	1
Tue Apr 12 18:32:36 2022	1649781156	0	2	2	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	2	2
Tue Apr 12 18:32:39 2022	1649781159	0	2	2	1
Tue Apr 12 18:32:36 2022	1649781156	0	2	2	1
Tue Apr 12 18:32:39 2022	1649781159	0	2	2	2
Tue Apr 12 18:32:39 2022	1649781159	0	2	3	1
Tue Apr 12 18:32:37 2022	1649781157	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	1
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	1
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	2
Tue Apr 12 18:32:37 2022	1649781157	0	2	3	1
Tue Apr 12 18:32:40 2022	1649781160	0	2	3	1
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	1
Tue Apr 12 18:32:39 2022	1649781159	0	2	3	1
Tue Apr 12 18:32:41 2022	1649781161	0	2	3	2
Tue Apr 12 18:32:40 2022	1649781160	0	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	2
Tue Apr 12 18:32:39 2022	1649781159	0	2	3	1
Tue Apr 12 18:32:40 2022	1649781160	0	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	1	2	3	2
Tue Apr 12 18:32:41 2022	1649781161	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	1
Tue Apr 12 18:32:40 2022	1649781160	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	2
Tue Apr 12 18:32:40 2022	1649781160	0	2	3	2
Tue Apr 12 18:32:39 2022	1649781159	0	2	3	2
Tue Apr 12 18:32:39 2022	1649781159	0	2	3	1
Tue Apr 12 18:32:41 2022	1649781161	1	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	2
Tue Apr 12 18:32:41 2022	1649781161	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	2
Tue Apr 12 18:32:37 2022	1649781157	0	2	3	2
Tue Apr 12 18:32:41 2022	1649781161	0	2	3	2
Tue Apr 12 18:32:37 2022	1649781157	1	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	2
Tue Apr 12 18:32:41 2022	1649781161	0	2	3	2
Tue Apr 12 18:32:41 2022	1649781161	0	3	3	1
Tue Apr 12 18:32:36 2022	1649781156	0	3	3	2
Tue Apr 12 18:32:42 2022	1649781162	1	2	3	2
Tue Apr 12 18:32:40 2022	1649781160	0	3	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	3	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	2
Tue Apr 12 18:32:36 2022	1649781156	0	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	2
Tue Apr 12 18:32:40 2022	1649781160	0	3	3	2
Tue Apr 12 18:32:37 2022	1649781157	0	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	0	2	3	1
Tue Apr 12 18:32:39 2022	1649781159	0	2	3	2
Tue Apr 12 18:32:42 2022	1649781162	0	3	3	2
